name,district,address,phone,latitude,longitude,media
Fatih 7 No'lu Aile Sağlığı Merkezi,Fatih,"Ayık Sokağı, Şehremini Mahallesi",,41.0140399,28.9300317,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Nazier Soyak Aile Sağlığı Merkezi,Üsküdar,Ünalan Mahallesi,,41.0008695,29.0699207,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Kartal 8 Nolu Aile Sağlığı Merkezi,Kartal,"Bulut Sokağı, Esentepe Mahallesi",,40.902112,29.1915456,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Müşerref - Sabri Köseoğlu Aile Sağlığı Merkezi,Bağcılar,"412. Sokak, İnönü Mahallesi",,41.0311574,28.8499549,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Büyükçekmece Merkez Aile Sağlığı Merkezi,Büyükçekmece,"D-100 Kuzey Yanyolu, Dizdariye Mahallesi",,41.0201914,28.5794739,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Zümrütevler 2 Nolu Aile Sağlığı Merkezi,Maltepe,"Zambak Sokağı, Zümrütevler Mahallesi",,40.9347353,29.1507706,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Duydu Özyurt Aile Sağlığı Merkezi,Bağcılar,"1031. Sokak, Barbaros Hayrettin Paşa Mahallesi",,41.0742587,28.8888709,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Siyavuşpaşa Aile Sağlığı Merkezi,Bahçelievler,"Barbaros Caddesi, Şirinevler Mahallesi",,40.9994877,28.8520402,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Hekimbaşı Ömer Aile Sağlığı Merkezi,Bahçelievler,"Nevruz Sokağı, Soğanlı Mahallesi",,41.0110242,28.8554591,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Bahçelievler 9 Nolu Aile Sağlığı Merkezi,Bahçelievler,"Kaman Sokağı, Şirinevler Mahallesi",,41.0036619,28.8519273,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Bahçelievler 5 Nolu Aile Sağlığı Merkezi,Bahçelievler,Kaya Sokak,,41.0122001,28.8552668,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Kazım Karabekir Aile Sağlığı Merkezi,Bağcılar,"Kazım Karabekir Caddesi, Kazım Karabekir Mahallesi",,41.0466219,28.8719064,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Kemer Aile Sağlığı Merkezi,Bağcılar,"939. Sokak, Kemer Mahallesi",,41.0529312,28.8784659,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Kadıköy 13 Nolu ASM,Kadıköy,"Ressam Salih Ermez Caddesi, Merdivenköy Mahallesi",,40.9841278,29.0628033,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Uzun Yusuf Aile Sağlığı Merkezi,Fatih,"Evliya Ata Sokağı, Seyyid Ömer Mahallesi",,41.0083061,28.9270347,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
T.C. Sağlık Bakanlığı Bayrampaşa 3 No'lu Aile Sağlığı Merkezi,Bayrampaşa,"Akpınar Caddesi, Altıntepsi Mahallesi",,41.040517,28.8983633,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Fatih Yedikule Aile Sağlığı Merkezi,Fatih,Hacı evhaddin caddesi,,40.9988258,28.9239294,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Hırka-i Şerif Aile Sağlığı Merkezi,Fatih,Aktar Sokağı,,41.0214037,28.9389753,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Fatih 12 No'lu Aile Sağlığı Merkezi,Fatih,"Koca Sinan Caddesi No:88, Hırka-i Şerif Mahallesi",+90212 621 41 01,41.0198252,28.9400429,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Fatih Merkez Aile Sağlığı Merkezi,Fatih,Hasan Fehmipaşa Caddesi,,41.0250016,28.9422959,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Silivrikapı Aile Sağlığı Merkezi,Fatih,Beyçayırı Sokak,,41.0035195,28.9240211,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Sirkeci Aile Sağlığı Merkezi,Fatih,Ebussuut Caddesi,,41.0122926,28.9774548,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Kasım Günani Aile Sağlığı Merkezi,Fatih,Hacı Rıza Sokağı,,41.032653,28.9436782,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Darüşşifa aile sağlığı merkezi,Fatih,Eski şifahane sokak,,41.0188496,28.9517827,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Neslişah Sultan Aile Sağlığı Merkezi,Fatih,Sofali çeşme caddesi,,41.0237004,28.9355714,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Fatih 8 No'lu Aile Sağlığı Merkezi,Fatih,Tevfik fikret Sokak,,41.0106522,28.9399915,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Mehmet Oğuz Aile Sağlığı Merkezi,Pendik,"İnce Sokak No:12, Doğu Mahallesi",+90 216 390 1772,40.8822629,29.2444268,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Sultanbeyli 9 No'lu Aile Sağlığı Merkezi,Sultanbeyli,"Eyyubi Caddesi No:109, Yavuz Selim Mahallesi",,40.9512353,29.2811704,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Süleyman Taşpınar Aile Sağlığı Merkezi,Sultanbeyli,"Akçay Sokağı No:6, Yavuz Selim Mahallesi",+90 216 497 15 85,40.9451712,29.2772865,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Gazi Mahallesi Aile Sağlığı Merkezi,Sultanbeyli,"Yörük Sokak No:4, Ahmet Yesevi Mahallesi",+90 216 592 53 54,40.9756097,29.2653295,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Fatih 2 No'lu Aile Sağlığı Merkezi,Fatih,"Haliçgören Sokağı, Zeyrek Mahallesi",+90 212 621 20 56,41.0224284,28.9517445,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Fatih 13 No'lu Aile Sağlığı Merkezi,Fatih,"Akşemsettin Caddesi, Akşemsettin Mahallesi",0212 631 80 06,41.0200163,28.9412149,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Hekimoğlu Aile Sağlığı Merkezi,Fatih,"Taşköprüzade Sokağı, Seyyid Ömer Mahallesi",0212 632 09 14,41.0079637,28.9316986,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Hüsambey Aile Sağlığı Merkezi,Fatih,"İbadethane Aralığı Sokağı, Zeyrek Mahallesi",0212 631 12 10,41.0196662,28.9567223,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Kocamustafa Paşa Aile Sağlığı Merkezi,Fatih,"Hacı Kadın Caddesi, Koca Mustafapaşa Mahallesi",0212 589 20 51,41.0025944,28.9302611,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Kumkapı Aile Sağlığı Merkezi,Fatih,"Kadırga Meydanı Sokağı, Şehsuvar Bey Mahallesi",0212 638 70 29,41.004669,28.9676143,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Marmara Aile Sağlığı Merkezi,Fatih,"Mütesellim Sokağı, Koca Mustafapaşa Mahallesi",0212 589 68 29,41.0012629,28.9323457,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Mevlanakapı Aile Sağlığı Merkezi,Fatih,"Aynalı Bakkal Sokağı, Mevlanakapı Mahallesi",0212 589 98 08,41.0105169,28.9254688,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Seyitömer aile Sağlığı Merkezi,Fatih,"Kürkçübaşı Çeşmesi Sokağı, Aksaray Mahallesi",0212 633 12 08,41.0066994,28.9443549,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Sofular Aile Sağlığı Merkezi,Fatih,"Kıztaşı Caddesi, İskenderpaşa Mahallesi",+90 212 621 80 54,41.0161066,28.9507944,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Topkapı Aile Sağlığı Merkezi,Fatih,"Sefa Hamamı Sokağı, Topkapı Mahallesi",0212 521 50 15,41.0197043,28.930097,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Orhangazi Aile Sağlığı Merkezi,Sultanbeyli,"Karataş Sokak No:40, Orhangazi Mahallesi",+90 216 487 17 44,40.9404474,29.2870097,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Ali Mehmet Ceylan Aile Sağlığı Merkezi,Sultanbeyli,"Birgül Sokağı No:23, Akşemsettin Mahallesi",+90 216 487 61 64,40.9485676,29.2983656,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
T.C. Sağlık Bakanlığı 1 No'lu Aile Sağlığı Merkezi,Sultanbeyli,"Barbaros Caddesi No:39, Ahmet Yesevi Mahallesi",+90 216 592 07 25,40.9730527,29.2778845,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Abdurrahmangazi Aile Sağlığı Merkezi,Sultanbeyli,"Sakarya Caddesi No:88, Abdurrahmangazi Mahallesi",+90 216 419 19 37,40.960417,29.2559004,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Merkezefendi Aile Sağlığı Merkezi,Zeytinburnu,Sabri Ülker Caddesi,,41.011474,28.9131243,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Kirazlı Aile Sağlığı Merkezi,Bağcılar,Sazak sokak,,41.033775,28.8404632,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Kazım Karabekir Aile Sağlığı Merkezi,Bağcılar,8/5B. sokak,,41.0307906,28.8463855,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Veliefendi Aile Sağlığı Merkezi,Zeytinburnu,Hakşinas sok.,,40.9973808,28.8981092,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Yenimahalle Aile Sağlığı Merkezi,Bağcılar,Sht.Guntay polat sokak,,41.0449485,28.8376334,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Hamidiye Aile Sağlığı Merkezi,Sultanbeyli,"Nazlıçayır Sokak No:8, Hamidiye Mahallesi",+90 216 487 17 59,40.9550106,29.28107,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Sultanbeyli 3 No'lu Aile Sağlığı Merkezi,Sultanbeyli,"Şen Caddesi No:65, Mehmet Akif Mahallesi",+90 216 496 65 85,40.9625443,29.2638714,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Sultanbeyli 4 No'lu Aile Sağlığı Merkezi,Pendik,"Ziya Ülhak Caddesi No:100, Mehmet Akif Mahallesi",,40.9583058,29.2661355,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Manolya Aile Sağlığı Merkezi,Pendik,"Şalgamlı Caddesi No:122, Fatih Mahallesi",+90 216 398 46 22,40.9554642,29.2718034,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Sultanbeyli 6 No'lu Aile Sağlığı Merkezi,Pendik,"Ferah Caddesi No:94, Abdurrahmangazi Mahallesi",,40.9613523,29.2583575,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Sevim Taşpınar Aile Sağlığı Merkezi,Sultanbeyli,"Hat Caddesi No:2, Hasanpaşa Mahallesi",+90 216 398 04 74,40.9656111,29.2497836,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Sultanbeyli 7 No'lu Aile Sağlığı Merkezi,Sultanbeyli,"Petrol Yolu Caddesi No:54, Hasanpaşa Mahallesi, Petrol Yolu Caddesi",,40.9682423,29.2496068,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Erguvan Aile Sağlığı Merkezi,Sultanbeyli,"Mimar Sinan Caddesi No:47, Mimar Sinan Mahallesi",+90 216 592 25 65,40.9933949,29.2653447,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Mimar Sinan Aile Sağlığı Merkezi,Sultanbeyli,"Selçukhan Caddesi No:273, Mimar Sinan Mahallesi",+90 216 669 10 33,40.9945455,29.2745157,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Altıntepe Aile Sağlığı Merkezi,Sultanbeyli,"Fedai Sokak No:2, Battalgazi Mahallesi",,40.9850513,29.2781424,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Adil Mahallesi Aile Sağlığı Merkezi,Sultanbeyli,"Vahdet Caddesi No:56, Adil Mahallesi",,40.9824599,29.2630166,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Turgut Reis Bağlık Aile Sağlığı Merkezi,Sultanbeyli,"Ardahan Sokak No:1, Turgut Reis Mahallesi, Bağlık Caddesi",,40.966661,29.2801313,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Ahmet Keleş Aile Sağlığı Merkezi,Sultanbeyli,"Kamer Sokak No:4, Mecidiye Mahallesi",+90 216 398 47 77,40.9600066,29.2952256,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Rahim Çelik Aile Sağlığı Merkezi,Sultanbeyli,"Yörük Sokak No:4, Ahmet Yesevi Mahallesi",,40.976196,29.265435,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Beştelsiz Aile Sağlığı Merkezi,Zeytinburnu,"124. Sokak, Beştelsiz Mahallesi",+90 212 582 69 01,41.0010171,28.9032414,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Yenigün Aile Sağlığı merkezi,Zeytinburnu,"623. Sokak, Yenigün Mahallesi",,41.0219702,28.8595399,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Aile Sağlığı Merkezi,Ataşehir,"İnönü Caddesi, Sahrayıcedit Mahallesi",,40.9799139,29.0844566,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Altıntepsi Aile Sağlığı Merkezi,Bayrampaşa,"Filiz Sokağı, Altıntepsi Mahallesi",,41.0356474,28.9001935,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
İstanbul Ümraniye 18 Nolu Aile Sağlığı Merkezi,Ümraniye,"Tezcan Caddesi, Pakdil Sokak No:6, Tatlısu Mahallesi",+90 216 527 07 05,40.9990119,29.1376234,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Eğitim Aile Sağlığı Merkezi,Tuzla,Aydınlı Mahallesi,,40.8658378,29.3196211,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Tuzla 3 Nolu Aile Sağlığı Merkezi,Tuzla,Aydınlı Mahallesi,,40.8847487,29.3358656,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Ahmet Yesevi Aile Sağlığı Merkezi,Pendik,"Kamber Sk. No:13, Ahmet Yesevi Mahallesi",,40.8640132,29.3102436,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Şifa Semt Aile Sağlığı Merkezi,Tuzla,"Gülüm Sokak No:76, Mimar Sinan",,40.8339317,29.3618771,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Pendik 10 Nolu Aile Sağlığı Merkezi,Pendik,"Ayine Sokağı No:16A, Sülüntepe Mahallesi",,40.9153108,29.279408,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Cumhuriyet Aile Sağlığı Merkezi,Kartal,"Seza Sokak, Cumhuriyet Mahallesi",,40.9075799,29.2206469,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Kavakpınar 1 Nolu Aile Sağlığı Merkezi,Pendik,"Abdi İpekçi Caddesi No:115, Kavakpınar Mahallesi",+90 216 397 5851,40.8774789,29.2857356,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Şekerpınar Aile Sağlığı Merkezi,Tuzla,"Eski Sokak, Cumhuriyet Mahallesi",,40.8608013,29.3742901,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Burgazada Aile Sağlığı Merkezi,Adalar,"Turgut Egemen Bahçesi Sokağı, Burgazada Mahallesi",,40.8796333,29.0692445,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
18 Nc Aile Sağlığı Merkezi,Kadıköy,"Selimiye Hamamı Sokağı, Selimiye Mahallesi",,41.0113699,29.014793,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Çağlayan 2 Nolu Aile Sağlığı Merkezi,Kağıthane,Fevzi Çakmak Cad.,,41.0781061,28.9867662,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
16 Nolu Aile Sağlığı Merkezi,Kadıköy,"Yeşilbahar Sokağı, Göztepe Mahallesi",,40.9748758,29.0578998,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Kemal Hacıyüzbaşıoğlu Aile Sağlığı Merkezi,,"Kamp Yolu Caddesi, Orhantepe Mahallesi",+90 216 305 30 40,40.901596,29.1585049,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Tozkoparan Uhud Aile Sağlığı Merkezi,Güngören,"Kurul Sokağı, Tozkoparan Mahallesi",,41.0153257,28.8961137,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Kartal 3 Nolu Aile Sağlığı Merkezi,Kartal,"Peker Sokağı, Hürriyet Mahallesi",+90 216 309 77 55,40.9061012,29.2331756,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Maltepe 17 Nolu Aile Sağlığı Merkezi,Maltepe,"Ulus Sokağı, Esenkent Mahallesi",,40.9239455,29.1684966,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Gülsuyu Aile Sağlığı Merkezi,Maltepe,"Eski Üsküdar Caddesi, Gülsuyu Mahallesi",,40.9279039,29.1571455,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Paşabahçe Aile Sağlığı Merkezi,Kadıköy,"Karamanoğlu Sokağı, Valide-i Atik Mahallesi",,41.0186848,29.0310815,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Üsküdar Merkez Aile Sağlığı Merkezi,Üsküdar,"Doğancılar Caddesi, Aziz Mahmut Hüdayi Mahallesi",,41.0234578,29.0115225,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Zeynep Kamil Aile Sağlığı Merkezi,Kadıköy,"Eski Toptaşı Sokağı, Valide-i Atik Mahallesi",,41.0170567,29.0241164,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Başakşehir 5 Nolu Aile Sağlığı Merkezi,Başakşehir,"Cahit Zarifoğlu Caddesi, Başakşehir Mahallesi",,41.1097477,28.788484,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Başakşehir 5 Nolu Aile Sağlığı Merkezi,Başakşehir,"Balkan Sokağı, Başakşehir Mahallesi",,41.1037575,28.7917264,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Başakşehir Aile Sağlığı Merkezi,Başakşehir,"Erdem Beyazıt Caddesi, Başakşehir Mahallesi",,41.1071536,28.789661,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Esenyurt 4 Nolu Aile Sağlığı Merkezi,Esenyurt,"2121. Sokak, Güzelyurt Mahallesi",,41.0091608,28.6665231,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Beykoz Merkez Aile Sağlığı Merkezi,Beykoz,"Moda Çıkmazı Sokağı No:2, Merkez Mahallesi",+90 216 323 25 27,41.1347815,29.091298,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Altınyıldız Aile Sağlığı Merkezi,Bağcılar,"Yalçın Koreş Caddesi, Yenibosna Merkez Mahallesi",,41.0208992,28.8202784,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Doğu Sanayi Aile Sağlığı Merkezi,Bağcılar,"Yalçın Koreş Caddesi, Yenibosna Merkez Mahallesi",,41.0208799,28.8204139,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Hamidiye Semt Aile Sağlığı Merkezi,Eyüpsultan,"Arife Sokağı, Hamidiye Mahallesi",,41.091704,28.9779216,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Kağıthane 13 Nolu Aile Sağlığı Merkezi,Kağıthane,"Arife Sokağı, Hamidiye Mahallesi",,41.0914541,28.9778702,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Hekimbaşı Yusuf Sinan Aile Sağlığı Merkezi,Esenler,"Aksaray Caddesi No:2, Fatih Mahallesi",,41.0393117,28.8698237,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
